model,architecture,condition,metric,n,mean,sd,median,q1,q3,min,max
gpt-4o,Basic,primary,loc,164,6.475609756097561,5.030521835025167,5.0,2.0,8.25,2.0,30.0
gpt-4o,Basic,primary,sloc,164,6.152439024390244,4.739333535237033,5.0,2.0,8.0,2.0,30.0
gpt-4o,Basic,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Basic,primary,multi,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Basic,primary,blank,164,0.3231707317073171,0.5854679383776475,0.0,0.0,1.0,0.0,4.0
gpt-4o,Basic,primary,cc,164,3.317073170731707,2.217487932505951,3.0,2.0,4.0,1.0,14.0
gpt-4o,Basic,primary,halstead_volume,164,42.956253623874964,62.67473821364052,17.636523336432706,4.754887502163469,54.20747707614211,0.0,410.3426413555973
gpt-4o,Basic,primary,halstead_difficulty,164,1.7813141616452801,1.734883073773032,1.2,0.5,2.5,0.0,10.6
gpt-4o,Basic,primary,halstead_effort,164,170.76456546479025,442.9194223775604,25.5,2.3774437510817346,156.86666497302227,0.0,4349.631998369331
gpt-4o,AC,primary,loc,164,9.701219512195122,6.0784037681530085,9.0,6.0,11.0,2.0,44.0
gpt-4o,AC,primary,sloc,164,9.0,5.015313971540449,8.0,6.0,11.0,2.0,30.0
gpt-4o,AC,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,AC,primary,multi,164,0.036585365853658534,0.46852128566581824,0.0,0.0,0.0,0.0,6.0
gpt-4o,AC,primary,blank,164,0.6646341463414634,1.515876870796514,0.0,0.0,1.0,0.0,14.0
gpt-4o,AC,primary,cc,164,4.067073170731708,2.3527326431872195,4.0,3.0,5.0,1.0,19.0
gpt-4o,AC,primary,halstead_volume,164,56.00787141354267,65.03393468710851,39.863137138648355,11.60964047443681,73.03677461028802,0.0,387.7443751081734
gpt-4o,AC,primary,halstead_difficulty,164,2.2860223050878634,1.7260149434251706,2.0,0.9166666666666666,3.3333333333333335,0.0,8.333333333333334
gpt-4o,AC,primary,halstead_effort,164,223.32465837838265,411.9957971952786,85.83141055105449,9.132331253245203,236.09845576120776,0.0,3231.203125901445
gpt-4o,ACT,primary,loc,164,9.28048780487805,5.999538612615768,8.5,5.0,11.0,2.0,32.0
gpt-4o,ACT,primary,sloc,164,8.542682926829269,5.257014723271023,8.0,5.0,11.0,2.0,30.0
gpt-4o,ACT,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ACT,primary,multi,164,0.12804878048780488,1.258860560870939,0.0,0.0,0.0,0.0,15.0
gpt-4o,ACT,primary,blank,164,0.6097560975609756,1.2508264513162028,0.0,0.0,1.0,0.0,10.0
gpt-4o,ACT,primary,cc,164,4.103658536585366,2.446028212767944,4.0,3.0,5.0,1.0,16.0
gpt-4o,ACT,primary,halstead_volume,164,55.977762889783904,64.41889570401752,39.863137138648355,11.60964047443681,74.70996559770941,0.0,387.7443751081734
gpt-4o,ACT,primary,halstead_difficulty,164,2.3056245947620777,1.768731989368249,2.0,1.0,3.3333333333333335,0.0,8.333333333333334
gpt-4o,ACT,primary,halstead_effort,164,223.27372546447475,419.1726103051551,102.33854465101217,11.60964047443681,239.82463252022208,0.0,3231.203125901445
gpt-4o,Debugger,primary,loc,164,6.475609756097561,5.178354216027782,5.0,2.0,9.0,2.0,31.0
gpt-4o,Debugger,primary,sloc,164,6.128048780487805,4.855147780764864,5.0,2.0,8.0,2.0,30.0
gpt-4o,Debugger,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Debugger,primary,multi,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Debugger,primary,blank,164,0.3475609756097561,0.6420300644215411,0.0,0.0,1.0,0.0,4.0
gpt-4o,Debugger,primary,cc,164,3.341463414634146,2.1175255393256167,3.0,2.0,4.0,1.0,14.0
gpt-4o,Debugger,primary,halstead_volume,164,43.282169845317604,58.26589587104694,17.636523336432706,4.754887502163469,55.506595772116384,0.0,274.01923055728344
gpt-4o,Debugger,primary,halstead_difficulty,164,1.8168512408120123,1.701942967747126,1.1555555555555554,0.5,2.5,0.0,6.3
gpt-4o,Debugger,primary,halstead_effort,164,158.2613372066887,305.74804177995827,25.5,2.3774437510817346,163.51147683573873,0.0,1647.568519499642
gpt-4o,AC+Debugger,primary,loc,164,6.597560975609756,5.153734142324001,5.5,2.0,8.25,2.0,31.0
gpt-4o,AC+Debugger,primary,sloc,164,6.25,4.82627649283338,5.0,2.0,8.0,2.0,30.0
gpt-4o,AC+Debugger,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,AC+Debugger,primary,multi,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,AC+Debugger,primary,blank,164,0.3475609756097561,0.5923283805201255,0.0,0.0,1.0,0.0,3.0
gpt-4o,AC+Debugger,primary,cc,164,3.225609756097561,1.988698805450423,3.0,2.0,4.0,1.0,14.0
gpt-4o,AC+Debugger,primary,halstead_volume,164,44.58895427613433,64.72422082537882,15.509775004326936,4.754887502163469,53.830828133113016,0.0,430.83783257244704
gpt-4o,AC+Debugger,primary,halstead_difficulty,164,1.8104827057873871,1.7153476697926253,1.0555555555555556,0.5,2.6166666666666667,0.0,6.416666666666667
gpt-4o,AC+Debugger,primary,halstead_effort,164,162.76419694651804,315.9448935729427,22.83566444280769,2.3774437510817346,158.0040657607611,0.0,1501.41940259991
gpt-4o,ACT+Debugger,primary,loc,164,9.670731707317072,6.084385885901635,9.0,6.0,12.0,2.0,32.0
gpt-4o,ACT+Debugger,primary,sloc,164,8.981707317073171,5.2920504810686815,8.0,6.0,11.0,2.0,30.0
gpt-4o,ACT+Debugger,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,ACT+Debugger,primary,multi,164,0.036585365853658534,0.46852128566581824,0.0,0.0,0.0,0.0,6.0
gpt-4o,ACT+Debugger,primary,blank,164,0.6524390243902439,1.3180880008004994,0.0,0.0,1.0,0.0,10.0
gpt-4o,ACT+Debugger,primary,cc,164,4.085365853658536,2.2765878003207356,4.0,3.0,5.0,1.0,15.0
gpt-4o,ACT+Debugger,primary,halstead_volume,164,58.87848326132726,67.81559597082303,38.053747805010275,11.60964047443681,84.0,0.0,387.7443751081734
gpt-4o,ACT+Debugger,primary,halstead_difficulty,164,2.36129148240534,1.8177144950905226,2.0,1.0,3.3333333333333335,0.0,8.333333333333334
gpt-4o,ACT+Debugger,primary,halstead_effort,164,242.38437815504088,439.9670444819209,78.38457593812329,11.60964047443681,262.59472122879913,0.0,3231.203125901445
gpt-4o,Basic,passing,loc,127,6.228346456692913,4.298742851257487,6.0,2.0,8.0,2.0,26.0
gpt-4o,Basic,passing,sloc,127,5.889763779527559,3.99449690190299,5.0,2.0,8.0,2.0,22.0
gpt-4o,Basic,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Basic,passing,multi,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,Basic,passing,blank,127,0.33858267716535434,0.5938904880203335,0.0,0.0,1.0,0.0,4.0
gpt-4o,Basic,passing,cc,127,3.2125984251968505,2.0143529476671356,3.0,2.0,4.0,1.0,14.0
gpt-4o,Basic,passing,halstead_volume,127,40.03801838300613,58.80960125989106,15.509775004326936,4.754887502163469,51.89147427955947,0.0,292.57485892279027
gpt-4o,Basic,passing,halstead_difficulty,127,1.6858700986598891,1.6084727308564217,1.0,0.5,2.5,0.0,6.3
gpt-4o,Basic,passing,halstead_effort,127,148.28920784334557,323.56491665396413,15.509775004326936,2.3774437510817346,127.35019230831443,0.0,1647.568519499642
gpt-4o,AC,passing,loc,127,8.771653543307087,4.285799690854232,8.0,6.0,11.0,2.0,26.0
gpt-4o,AC,passing,sloc,127,8.251968503937007,3.92785838480254,8.0,6.0,10.0,2.0,24.0
gpt-4o,AC,passing,comments,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
