model,metric,condition,non_d,d_config,n,p_one_sided,median_diff_d_minus_nond,direction_supported
gpt-4o,sloc,primary,Basic,Debugger,164,0.44786565874158824,0.0,False
gpt-4o,sloc,primary,AC,AC+Debugger,164,0.9999999999999999,-3.0,False
gpt-4o,sloc,primary,ACT,ACT+Debugger,164,0.008987630632365724,0.0,True
gpt-4o,cc,primary,Basic,Debugger,164,0.17557874844413568,0.0,False
gpt-4o,cc,primary,AC,AC+Debugger,164,0.9999999922868449,-1.0,False
gpt-4o,cc,primary,ACT,ACT+Debugger,164,0.45217586714493674,0.0,False
gpt-4o,halstead_volume,primary,Basic,Debugger,164,0.06865259026384021,0.0,False
gpt-4o,halstead_volume,primary,AC,AC+Debugger,164,0.9999992316052524,-24.35336213432142,False
gpt-4o,halstead_volume,primary,ACT,ACT+Debugger,164,0.4700468224712206,-1.8093893336380802,False
gpt-4o,halstead_difficulty,primary,Basic,Debugger,164,0.054754015350595917,-0.04444444444444451,False
gpt-4o,halstead_difficulty,primary,AC,AC+Debugger,164,0.9999999662306032,-0.9444444444444444,False
gpt-4o,halstead_difficulty,primary,ACT,ACT+Debugger,164,0.24225018196553827,0.0,False
gpt-4o,halstead_effort,primary,Basic,Debugger,164,0.05478408835590578,0.0,False
gpt-4o,halstead_effort,primary,AC,AC+Debugger,164,0.9999984130033556,-62.9957461082468,False
gpt-4o,halstead_effort,primary,ACT,ACT+Debugger,164,0.28261998735838784,-23.95396871288888,False
gpt-4o-mini,sloc,primary,Basic,Debugger,164,0.566587098939925,0.0,False
gpt-4o-mini,sloc,primary,AC,AC+Debugger,164,1.0,-3.5,False
gpt-4o-mini,sloc,primary,ACT,ACT+Debugger,164,0.6537647682261043,0.0,False
gpt-4o-mini,cc,primary,Basic,Debugger,164,0.3434538616835331,0.0,False
gpt-4o-mini,cc,primary,AC,AC+Debugger,164,0.9999999999988038,-1.0,False
gpt-4o-mini,cc,primary,ACT,ACT+Debugger,164,0.09597680825095312,1.0,False
gpt-4o-mini,halstead_volume,primary,Basic,Debugger,164,0.18369274544063652,0.0,False
gpt-4o-mini,halstead_volume,primary,AC,AC+Debugger,164,0.9999999985188853,-15.349122328591648,False
gpt-4o-mini,halstead_volume,primary,ACT,ACT+Debugger,164,0.1599320651648457,0.163163162543988,False
gpt-4o-mini,halstead_difficulty,primary,Basic,Debugger,164,0.40403402678856126,0.0,False
gpt-4o-mini,halstead_difficulty,primary,AC,AC+Debugger,164,0.9999999999934206,-0.8095238095238093,False
gpt-4o-mini,halstead_difficulty,primary,ACT,ACT+Debugger,164,0.15223511109414128,0.18650793650793673,False
gpt-4o-mini,halstead_effort,primary,Basic,Debugger,164,0.1630247313644575,0.0,False
gpt-4o-mini,halstead_effort,primary,AC,AC+Debugger,164,0.9999999841558387,-59.13567084017694,False
gpt-4o-mini,halstead_effort,primary,ACT,ACT+Debugger,164,0.2660628991221373,6.306355238849207,False
