model,metric,condition,architecture,n,mean_rank
gpt-4o,sloc,primary,Basic,164,2.548780487804878
gpt-4o,sloc,primary,AC,164,4.432926829268292
gpt-4o,sloc,primary,ACT,164,4.2073170731707314
gpt-4o,sloc,primary,Debugger,164,2.6280487804878048
gpt-4o,sloc,primary,AC+Debugger,164,2.667682926829268
gpt-4o,sloc,primary,ACT+Debugger,164,4.515243902439025
gpt-4o,cc,primary,Basic,164,2.926829268292683
gpt-4o,cc,primary,AC,164,3.9878048780487805
gpt-4o,cc,primary,ACT,164,4.039634146341464
gpt-4o,cc,primary,Debugger,164,3.0640243902439024
gpt-4o,cc,primary,AC+Debugger,164,2.9390243902439024
gpt-4o,cc,primary,ACT+Debugger,164,4.0426829268292686
gpt-4o,halstead_volume,primary,Basic,164,2.9146341463414633
gpt-4o,halstead_volume,primary,AC,164,4.0182926829268295
gpt-4o,halstead_volume,primary,ACT,164,4.015243902439025
gpt-4o,halstead_volume,primary,Debugger,164,3.0548780487804876
gpt-4o,halstead_volume,primary,AC+Debugger,164,2.9451219512195124
gpt-4o,halstead_volume,primary,ACT+Debugger,164,4.051829268292683
gpt-4o,halstead_difficulty,primary,Basic,164,2.9298780487804876
gpt-4o,halstead_difficulty,primary,AC,164,3.926829268292683
gpt-4o,halstead_difficulty,primary,ACT,164,3.9878048780487805
gpt-4o,halstead_difficulty,primary,Debugger,164,3.0701219512195124
gpt-4o,halstead_difficulty,primary,AC+Debugger,164,3.033536585365854
gpt-4o,halstead_difficulty,primary,ACT+Debugger,164,4.051829268292683
gpt-4o,halstead_effort,primary,Basic,164,2.8902439024390243
gpt-4o,halstead_effort,primary,AC,164,3.9786585365853657
gpt-4o,halstead_effort,primary,ACT,164,4.003048780487805
gpt-4o,halstead_effort,primary,Debugger,164,3.042682926829268
gpt-4o,halstead_effort,primary,AC+Debugger,164,3.0121951219512195
gpt-4o,halstead_effort,primary,ACT+Debugger,164,4.073170731707317
gpt-4o,sloc,passing,Basic,127,2.578740157480315
gpt-4o,sloc,passing,AC,127,4.3700787401574805
gpt-4o,sloc,passing,ACT,127,4.224409448818897
gpt-4o,sloc,passing,Debugger,127,2.688976377952756
gpt-4o,sloc,passing,AC+Debugger,127,2.6929133858267718
gpt-4o,sloc,passing,ACT+Debugger,127,4.44488188976378
gpt-4o,cc,passing,Basic,127,2.97244094488189
gpt-4o,cc,passing,AC,127,3.921259842519685
