model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o,sloc,primary,Basic,AC,R,Single,164,359.5,3.6499217117271674e-18,5.109890396418034e-17,True,-0.9041716646674663,large,-3.0,AC
gpt-4o,sloc,primary,Basic,ACT,"R,T",Compound,164,441.5,1.48208737211579e-14,1.333878634904211e-13,True,-0.8499830105334693,large,-3.0,ACT
gpt-4o,sloc,primary,Basic,Debugger,D,Single,164,82.5,0.8957313174831765,1.0,False,-0.03508771929824561,negligible,0.0,Debugger
gpt-4o,sloc,primary,Basic,AC+Debugger,"R,D",Compound,164,52.5,0.254372927456583,1.0,False,-0.3137254901960784,moderate,0.0,AC+Debugger
gpt-4o,sloc,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,206.5,3.805917712953423e-19,5.708876569430135e-18,True,-0.942156862745098,large,-3.0,ACT+Debugger
gpt-4o,sloc,primary,AC,ACT,T,Single,164,817.0,0.028894869297789397,0.144474346488947,False,0.3034953111679454,moderate,0.0,AC
gpt-4o,sloc,primary,AC,Debugger,R<->D,Swap,164,565.5,2.0841538203267583e-16,2.0841538203267583e-15,True,0.8516915814319433,large,3.0,AC
gpt-4o,sloc,primary,AC,AC+Debugger,D,Single,164,489.5,1.642680170363258e-16,1.8069481873995838e-15,True,0.8651515151515151,large,3.0,AC
gpt-4o,sloc,primary,AC,ACT+Debugger,"T,D",Compound,164,1353.0,0.7014277516020537,1.0,False,-0.05052631578947368,negligible,0.0,ACT+Debugger
gpt-4o,sloc,primary,ACT,Debugger,"R,T,D",Compound,164,691.5,1.0271231018394673e-12,8.216984814715738e-12,True,0.7775096525096525,large,3.0,ACT
gpt-4o,sloc,primary,ACT,AC+Debugger,T<->D,Swap,164,841.5,1.392660947312917e-11,9.748626631190419e-11,True,0.734039190897598,large,3.0,ACT
gpt-4o,sloc,primary,ACT,ACT+Debugger,D,Single,164,617.5,0.017975261264731448,0.10785156758838868,False,-0.34690639873083023,moderate,0.0,ACT+Debugger
gpt-4o,sloc,primary,Debugger,AC+Debugger,R,Single,164,41.0,0.2790722279637221,1.0,False,-0.31666666666666665,moderate,0.0,AC+Debugger
gpt-4o,sloc,primary,Debugger,ACT+Debugger,"R,T",Compound,164,421.5,2.335237063301724e-17,3.0358081822922415e-16,True,-0.8857878336268799,large,-3.0,ACT+Debugger
gpt-4o,sloc,primary,AC+Debugger,ACT+Debugger,T,Single,164,385.5,2.5193764289684665e-17,3.0358081822922415e-16,True,-0.8920168067226891,large,-3.0,ACT+Debugger
gpt-4o,cc,primary,Basic,AC,R,Single,164,626.5,2.94759360524966e-07,2.6528342447246942e-06,True,-0.6405622489959839,large,-1.0,AC
gpt-4o,cc,primary,Basic,ACT,"R,T",Compound,164,547.0,6.206110268620028e-08,7.075955465697654e-07,True,-0.6785189538642374,large,-1.0,ACT
gpt-4o,cc,primary,Basic,Debugger,D,Single,164,44.0,0.35115749688827136,1.0,False,-0.26666666666666666,small,0.0,Debugger
gpt-4o,cc,primary,Basic,AC+Debugger,"R,D",Compound,164,60.0,0.6745121773646626,1.0,False,0.11764705882352941,small,0.0,Basic
gpt-4o,cc,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,628.0,5.896629554748045e-08,7.075955465697654e-07,True,-0.6642608928094093,large,-1.0,ACT+Debugger
gpt-4o,cc,primary,AC,ACT,T,Single,164,582.5,0.9534450564385155,1.0,False,0.00935374149659864,negligible,0.0,AC
gpt-4o,cc,primary,AC,Debugger,R<->D,Swap,164,635.5,1.7757396380638828e-06,1.4205917104511062e-05,True,0.6077160493827161,large,1.0,AC
gpt-4o,cc,primary,AC,AC+Debugger,D,Single,164,493.5,1.542631011863527e-08,2.159683416608938e-07,True,0.7099617984131649,large,1.0,AC
gpt-4o,cc,primary,AC,ACT+Debugger,"T,D",Compound,164,548.5,0.8677251117877972,1.0,False,-0.0274822695035461,negligible,0.0,ACT+Debugger
gpt-4o,cc,primary,ACT,Debugger,"R,T,D",Compound,164,586.0,2.6374701190418518e-06,1.8462290833292962e-05,True,0.6097236097236097,large,1.0,ACT
gpt-4o,cc,primary,ACT,AC+Debugger,T<->D,Swap,164,479.0,1.7337480822782893e-08,2.253872506961776e-07,True,0.7115326708822644,large,1.0,ACT
gpt-4o,cc,primary,ACT,ACT+Debugger,D,Single,164,507.0,0.9043517342898735,1.0,False,-0.020289855072463767,negligible,0.0,ACT+Debugger
gpt-4o,cc,primary,Debugger,AC+Debugger,R,Single,164,13.5,0.14766025556164986,0.8859615333698991,False,0.509090909090909,large,0.0,Debugger
gpt-4o,cc,primary,Debugger,ACT+Debugger,"R,T",Compound,164,573.5,2.1883215626169297e-07,2.1883215626169296e-06,True,-0.6546221017765733,large,-1.0,ACT+Debugger
gpt-4o,cc,primary,AC+Debugger,ACT+Debugger,T,Single,164,391.0,1.3598078640233315e-09,2.0397117960349973e-08,True,-0.7645287563986751,large,-1.0,ACT+Debugger
gpt-4o,halstead_volume,primary,Basic,AC,R,Single,164,1332.5,2.901522461355803e-07,3.42828060880161e-06,True,-0.5634725634725635,large,-22.22661380221565,AC
gpt-4o,halstead_volume,primary,Basic,ACT,"R,T",Compound,164,1196.0,2.371231607092057e-07,3.082601089219674e-06,True,-0.5782049021336625,large,-22.22661380221565,ACT
gpt-4o,halstead_volume,primary,Basic,Debugger,D,Single,164,117.0,0.13730518052768043,0.8238310831660826,False,-0.3333333333333333,moderate,0.0,Debugger
gpt-4o,halstead_volume,primary,Basic,AC+Debugger,"R,D",Compound,164,111.5,0.4202181337040959,1.0,False,-0.19202898550724637,small,2.1267483321057696,AC+Debugger
gpt-4o,halstead_volume,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,1194.5,1.8006725500299016e-08,2.7010088250448524e-07,True,-0.6156692406692407,large,-20.41722446857757,ACT+Debugger
gpt-4o,halstead_volume,primary,AC,ACT,T,Single,164,997.5,0.6240442259228776,1.0,False,-0.06993006993006994,negligible,0.0,ACT
gpt-4o,halstead_volume,primary,AC,Debugger,R<->D,Swap,164,1385.0,2.944111620029876e-06,2.6497004580268884e-05,True,0.520595361716857,large,22.22661380221565,AC
gpt-4o,halstead_volume,primary,AC,AC+Debugger,D,Single,164,1375.0,1.5367894952290339e-06,1.536789495229034e-05,True,0.5327896704043493,large,24.35336213432142,AC
gpt-4o,halstead_volume,primary,AC,ACT+Debugger,"T,D",Compound,164,1017.0,0.5718380162191101,1.0,False,-0.08005427408412483,negligible,1.8093893336380802,ACT+Debugger
gpt-4o,halstead_volume,primary,ACT,Debugger,"R,T,D",Compound,164,1467.5,1.6187324894354488e-05,0.0001244896709157247,True,0.4824545935461118,moderate,22.22661380221565,ACT
gpt-4o,halstead_volume,primary,ACT,AC+Debugger,T<->D,Swap,164,1431.0,1.5561208864465588e-05,0.0001244896709157247,True,0.4857142857142857,moderate,24.35336213432142,ACT
gpt-4o,halstead_volume,primary,ACT,ACT+Debugger,D,Single,164,1061.0,0.9400936449424412,1.0,False,-0.010722610722610723,negligible,1.8093893336380802,ACT+Debugger
gpt-4o,halstead_volume,primary,Debugger,AC+Debugger,R,Single,164,25.0,0.15195618574341047,0.8238310831660826,False,0.45054945054945056,moderate,2.1267483321057696,Debugger
gpt-4o,halstead_volume,primary,Debugger,ACT+Debugger,"R,T",Compound,164,1331.5,2.856900507334675e-07,3.42828060880161e-06,True,-0.5638001638001638,large,-20.41722446857757,ACT+Debugger
gpt-4o,halstead_volume,primary,AC+Debugger,ACT+Debugger,T,Single,164,1275.5,1.927541154218217e-07,2.6985576159055036e-06,True,-0.5744787322768974,large,-22.54397280068334,ACT+Debugger
gpt-4o,halstead_difficulty,primary,Basic,AC,R,Single,164,944.0,6.810300172312953e-09,9.534420241238134e-08,True,-0.6542124542124542,large,-0.8,AC
gpt-4o,halstead_difficulty,primary,Basic,ACT,"R,T",Compound,164,936.0,7.745480670162504e-08,7.745480670162504e-07,True,-0.6218181818181818,large,-0.8,ACT
gpt-4o,halstead_difficulty,primary,Basic,Debugger,D,Single,164,94.0,0.10950803070119183,0.6570481842071509,False,-0.37333333333333335,moderate,0.04444444444444451,Debugger
gpt-4o,halstead_difficulty,primary,Basic,AC+Debugger,"R,D",Compound,164,77.0,0.1807753160724742,0.8144219877847986,False,-0.3333333333333333,moderate,0.14444444444444438,AC+Debugger
gpt-4o,halstead_difficulty,primary,Basic,ACT+Debugger,"R,T,D",Compound,164,880.5,1.1657757065328317e-09,1.7486635597992475e-08,True,-0.6835579514824798,large,-0.8,ACT+Debugger
gpt-4o,halstead_difficulty,primary,AC,ACT,T,Single,164,926.0,0.4455305012080558,1.0,False,-0.10961538461538461,small,0.0,ACT
gpt-4o,halstead_difficulty,primary,AC,Debugger,R<->D,Swap,164,1101.5,3.50890237357185e-07,2.80712189885748e-06,True,0.5806205977536646,large,0.8444444444444446,AC
